QUERY,DOC_ID
0-dimensional biomaterials show inductive properties.,4241
1 000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.,2425
1/2000 in UK have abnormal PrP positivity.,2232
5% of perinatal mortality is due to low birth weight.,291
A deficiency of vitamin B12 increases blood levels of homocysteine.,978:1950
A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,2813
A total of 1 000 people in the UK are asymptomatic carriers of vCJD infection.,2232
ADAR1 binds to Dicer to cleave pre-miRNA.,1100
AIRE is expressed in some skin tumors.,2064
ALDH1 expression is associated with better breast cancer outcomes.,4967
ALDH1 expression is associated with poorer prognosis in breast cancer.,4967
AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,5013
APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,917
APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation  delaying GABA neuron degeneration.,917
Activation of PPM1D suppresses p53 function.,1102:816
Activator-inhibitor pairs are provided dorsally by Admpchordin.,1115
Active H. pylori urease has a polymeric structure that compromises two subunits  UreA and UreB.,786
Albendazole is used to treat lymphatic filariasis.,213
Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,2877
All hematopoietic stem cells segregate their chromosomes randomly.,782
Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,1137
Anthrax spores can be disposed of easily after they are dispersed.,4356
Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,1175
Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,936
Arginine 90 in p150n is important for interaction with EB1.,3215
Arterioles have a larger lumen diameter than venules.,1475
Articles published in open access format are less likely to be cited than traditional journals.,4011
Articles published in open access format are more likely to be cited than traditional journals.,4011
Aspirin inhibits the production of PGE2.,1432
Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3 4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.,4620:1279:2786:2609:2071
Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,3853
Auditory entrainment is strengthened when people see congruent visual and auditory information.,1275:2381
Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autophagy declines in aged organisms.,196
Bariatric surgery has a positive impact on mental health.,2883
Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,2081
Birth-weight is positively associated with breast cancer.,2613:3955:3464:2733
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,2683
Bone marrow cells contribute to adult macrophage compartments.,2103
Breast cancer development is determined exclusively by genetic factors.,2832
CCL19 is absent within dLNs.,406
CHEK2 is not associated with breast cancer.,2209
CR is associated with higher methylation age.,3270
CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,2223
CX3CR1 on the Th2 cells impairs T cell survival,3172
CX3CR1 on the Th2 cells promotes T cell survival,3172
CX3CR1 on the Th2 cells promotes airway inflammation.,3172
CX3CR1 on the Th2 cells suppresses airway inflammation.,3172
Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,551
Cataract and trachoma are the primary cause of blindness in Southern Sudan.,1795
Cell autonomous sex determination in somatic cells does not occur in Galliformes.,788
Cell autonomous sex determination in somatic cells occurs in Passeriformes.,788
Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,950
Cells undergoing methionine restriction may activate miRNAs.,416
Cellular aging closely links to an older appearance.,2320
Chenodeosycholic acid treatment increases whole-body energy expenditure.,281
Chenodeosycholic acid treatment reduces whole-body energy expenditure.,281
Chronic aerobic exercise alters endothelial function  improving vasodilating mechanisms mediated by NO.,200:1828
Cold exposure increases BAT recruitment.,175
Cold exposure reduces BAT recruitment.,175
Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,1939
Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,953:2349:2437
Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,2370
Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,1848
Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,3030
Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,4671
Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,629
DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,788
De novo assembly of sequence data has more specific contigs than unassembled sequence data.,1141
Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,768
Deleting Raptor reduces G-CSF levels.,370
Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,2794
Dexamethasone decreases risk of postoperative bleeding.,3438
Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,1420:1090
Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,2677
Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,1561
During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,4626
Enhanced early production of inflammatory chemokines improves viral control in the lung.,2898
Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,2240
Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,1722:1700
Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,2630
Ethanol stress decreases the expression of IBP in bacteria.,203
Exposure to fine particulate air pollution is relate to anxiety prevalence.,145
Febrile seizures increase the threshold for development of epilepsy.,2455
Febrile seizures reduce the threshold for development of epilepsy.,2455
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,1164
Flexible molecules experience greater steric hindrance in the tumor microenviroment than rigid molecules.,1879
FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,4086
Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,2410
Functional consequences of genomic alterations due to Myelodysplastic syndrome (MDS) are poorly understood due to the lack of an animal model.,2841
Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,837
Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,837
GATA-3 is important for hematopoietic stem cell (HSC) function.,1750
Gene expression does not vary appreciably across genetically identical cells.,2098:90
Glycolysis is one of the primary glycometabolic pathways in cells.,2867
Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,2431
HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,5054
Headaches are not correlated with cognitive impairment.,2784
Healthcare delivery efficiency in crowded delivery centers is impaired by improving structural  logistical  and interpersonal elements.,2141
Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,4191
Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,2312
High cardiopulmonary fitness causes increased mortality rate.,2160
High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,2606
High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,4130
High levels of copeptin decrease risk of diabetes.,2533
High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,4423
Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,2225
Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,693
Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,1027
Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,2124
Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,2124
Hypertension is frequently observed in type 1 diabetes patients.,4670
Hypocretin neurones induce panicprone state in rats.,2583
Hypoglycemia increases the risk of dementia.,2170
Hypothalamic glutamate neurotransmission is crucial to energy balance.,1975:3687
IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,3559
IRG1 has antiviral effects against neurotropic viruses.,1641
ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,4336
IgA plasma cells that are specific for transglutaminase 2 accumulate in the duodenal mucosa on commencement of a gluten-free diet.,267
Immune complex triggered cell death leads to extracellular release of neutrophil protein HMGB1.,189
Immune responses result in the development of inflammatory Th17 cells and anti-inflammatory iTregs.,4716
In adult tissue  most T cells are memory T cells.,3455
In domesticated populations of Saccharomyces cerevisiae  whole chromosome aneuploidy is very uncommon.,1766
In mice  P. chabaudi parasites are able to proliferate faster early in infection when inoculated at lower numbers than when inoculated at high numbers.,999
In mouse models  the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.,1559
In transgenic mice harboring green florescent protein under the control of the Sox2 promoter  less than ten percent of the cells with green florescent colocalize with cell proliferation markers.,2686
In young and middle-aged adults  current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.,1859
Incidence of heart failure decreased by 10% in women since 1979.,2961
Incidence rates of cervical cancer have decreased.,2091:4498:3802
Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,3802
Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,1676
Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,3111:472
Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,2687
Infection of human T-cell lymphotropic virus type 1 is most frequent in individuals of African origin.,3600
Inositol lipid 3-phosphatase PTEN converts Ptdlns(3 4)P 2 into phosphatidylinositol 4-phosphate.,3571
Input from  mental and physical health care professionals is effective at decreasing homelessness.,3786
Insomnia can be effectively treated with cognitive behavioral therapy.,1092:4231
Insulin increases risk of severe kidney failure.,2220
Integrating classroom-based collaborative learning with Web-based collaborative learning leads to subpar class performance,2094
Ivermectin is used to treat lymphatic filariasis.,213
Ivermectin is used to treat onchocerciasis.,213
LDL cholesterol has no involvement in the development of cardiovascular disease.,389
Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,950
Less than 10% of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,2874
Leukemia associated Rho guanine nucleotide-exchange factor represses RhoA in response to SRC activation.,1860
Leuko-increased blood increases infectious complications in red blood cell transfusion.,3542
Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,3542
Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,769
Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,769
Low expression of miR7a does represses target genes and exerts a biological function in ovaries.,2843
Low expression of miR7a exerts a biological function in testis.,2843
Low nucleosome occupancy correlates with low methylation levels across species.,2746
Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,332
Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,1037
Ly6C hi monocytes have a lower inflammatory capacity compared to their Ly6C lo counterparts.,1364
Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,1364:4505
Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,3932
Macrolides have no protective effect against myocardial infarction.,4261
Macrolides protect against myocardial infarction.,4261
Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,1505
Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,520
Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,329
Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,1186
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,2502
Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) reveal increased sensitivity to ionizing radiation (IR).,4268
Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,3579
Mice without IFN-γ or its receptor are resistant to EAM induced with α-MyHC/CFA.,4746
MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,433
Microarray results from culture-amplified mixtures of serotypes correlate poorly with microarray results from uncultured mixtures.,2055
Mitochondria are uninvolved in apoptosis.,1521
Modifying the epigenome in the brain affects the normal human aging process by affecting certain genes related to neurogenesis.,3337
Monoclonal antibody targeting of N-cadherin inhibits metastasis.,3287
Most termination events in Okazaki fragments are sequence specific.,4513
Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,2971
Mutations in G-Beta protein GNB2 are present in many cancers  resulting in loss of interaction with G-alpha subunits and concomitant activation of AKT pathway.,4330
N-terminal cleavage increases success identifying transcription start sites.,1537
N-terminal cleavage reduces success identifying transcription start sites.,1537
N348I mutations cause resistance to zidovudine (AZT).,2484
NF2 (Merlin) causes phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila by activating LATS1/2 kinases.,344
NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,344
NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,4167
NOX2-independent pathways can generate peroxynitrite by reacting with nitrogen intermediates.,1028
NR5A2 is important in development of endometrial tissues.,2564
Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,266
Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,2766
New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,2666
Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,2260
Normal expression of RUNX1 has tumor-promoting effects.,365
Obesity decreases life quality.,5178
Obesity is determined solely by environmental factors.,208:2919:3979:4090:591
Occupancy of ribosomes by IncRNAs do not make functional peptides.,1496
Occupancy of ribosomes by IncRNAs mirror 5 0-UTRs,1496
Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegetarians.,2435
Only a minority of cells survive development after differentiation into stress-resistant spores.,2882
PD-1 triggering on monocytes reduces IL-10 production by monocytes.,1818
PDPN promotes efficient motility along stromal surfaces by activating the C-type lectin receptor to rearrange the actin cytoskeleton in dendritic cells.,1335
PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,1268
PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,1893
PPAR-RXRs are inhibited by PPAR ligands.,578
PPAR-RXRs can be activated by PPAR ligands.,578
Participating in six months of physical activity improves cognitive functioning.,299
Patients in stable partnerships have a faster progression from HIV to AIDS.,2694
Peroxynitrite is required for nitration of TCR/CD8.,1028
Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.,2122
Podocytes are motile and migrate in the presence of injury.,23
Polymeal nutrition reduces cardiovascular mortality.,1562
Pretreatment with the Arp2/3 inhibitor CK-666 affects lamelliopodia formation.,393:1583
Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,5001:4019:4065:1699
Primary pro-inflammatory cytokines induce secondary pro- and anti-inflammatory mediators.,1001
Proteins synthesized at the growth cone are ubiquitinated at a higher rate than proteins from the cell body.,542
Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,1255
Pyridostatin destabilizes the G - quadruplex in the telomeric region.,2627
Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,1694
Rapamycin decreases the concentration of triacylglycerols in fruit flies.,1158
Rapid phosphotransfer rates govern fidelity in two component systems,1938
Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,1641
Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,1641
Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,1007
Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,2291:2297:1977
Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,3721:2643
Ribosomopathies have a low degree of cell and tissue specific pathology.,2056
S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,3045
Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,4662
Silencing of Bcl2 is important for the maintenance and progression of tumors.,4570
Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,2751
Statins decrease blood cholesterol.,1390
Statins increase blood cholesterol.,1390
Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,703
Subcutaneous fat depots undergo extensive browning processes after cold exposure.,3066
Suboptimal nutrition is not predictive of chronic disease,2240
Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,861
T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,2794
TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,4336:1624
TNFAIP3 is a tumor suppressor in glioblastoma.,5
Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,1995
Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,1741
Teaching hospitals do not provide better care than non-teaching hospitals.,2277
Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,1910
The DdrB protein from Deinococcus radiodurans is an alternative SSB.,2483
The PPR MDA5 has two N-terminal CARD domains.,4216
The PRR MDA5 has a central DExD/H RNA helices domain.,4216
The PRR MDA5 is a sensor of RNA virus infection.,4216
The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,2663
The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,5034
The amount of publicly available DNA data doubles every 10 years.,4185
The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,1916
The availability of safe places to study is effective at decreasing homelessness.,3786
The availability of safe places to study is not effective at decreasing homelessness.,3786
The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,2665
The binding orientation of the ML-SA1 activator at hTRPML2 is different from the binding orientation of the ML-SA1 activator at hTRPML1.,610
The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,617
The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,4209
The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,2886
The deregulated and prolonged activation of monocytes has deleterious effects in inflammatory diseases.,2377
The extracellular domain of TMEM27 is cleaved in human beta cells.,3545
The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,2967
The locus rs647161 is associated with colorectal carcinoma.,1680
The loss of the TET protein functions may have dire biological consequences  such as myeloid cancers.,2243
The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,2276
The myocardial lineage develops from cardiac progenitors of mesodermal origin.,841
The one-child policy has been successful in lowering population growth.,1391
The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,3580
The repair of Cas9-induced double strand breaks in human DNA is error-prone.,4911
The risk of breast cancer among parous women increases with placental weight of pregnancies  and this association is strongest for premenopausal breast cancer.,4568
The risk of male prisoners harming themselves is ten times that of female prisoners.,2272
The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,2239
The single flash-evoked ERG b-wave is generated by activity of ON-bipolar cells.,2695
The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,1868
The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,2047:4010:806
The treatment of cancer patients with co-IR blockade does not cause any adverse autoimmune events.,1902
The treatment of cancer patients with co-IR blockade precipitates adverse autoimmune events.,1902
The ureABIEFGH gene cluster encodes urease maturation proteins : UreD/UreH  UreE  UreF  and UreG.,786
The ureABIEFGH gene cluster is induced by nickel (II) ion.,786
Therapeutic use of the drug Dapsone to treat pyoderma gangrenous is based on anecdotal evidence.,3481
There is an inverse relationship between hip fractures and statin use.,909
There is no association between HNF4A mutations and diabetes risks.,5054
Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,1953
Tirasemtiv has no effect on fast-twitch muscle.,2070
Transferred UCB T cells acquire a memory-like phenotype in recipients.,4023
Transplanted human glial cells can differentiate within the host animal.,2610
Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,2610
Tumor necrosis factor alpha (TNF-α) and interleukin-1 (IL-1) are pro-inflammatory cytokines that inhibit IL-6 and IL-10.,1001
UCB T cells maintain high TCR diversity after transplantation.,4023
UCB T cells reduce TCR diversity after transplantation.,4023
Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,3022
Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,2504
Up-regulation of the p53 pathway and related molecular events casues cancer resistance and results in a significantly shortened lifespan marked by senescent cells and accelerated organismal aging.,1663
Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,2111
Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,1939
Venules have a larger lumen diameter than arterioles.,1475
Venules have a thinner or absent smooth layer compared to arterioles.,1475
Vitamin D deficiency effects the term of delivery.,446
Vitamin D deficiency is unrelated to birth weight.,446
Women with a higher birth weight are more likely to develop breast cancer later in life.,2613:3955:3464:2733
aPKCz causes tumour enhancement by affecting glutamine metabolism.,2767
cSMAC formation enhances weak ligand signalling.,52
mTORC2 regulates intracellular cysteine levels through xCT inhibition.,3513
p16INK4A accumulation is  linked to an abnormal wound response caused by the microinvasive step of advanced Oral Potentially Malignant Lesions (OPMLs).,2764
